Product,Demand_Forecast,Current_Inventory,Supply_Readiness,Lead_Time_Days,Confirmed_Orders,Year,Month,Week,Revenue_Status,Date
Truck Engine,2868,1758,1,5,1398,2021,1,53,0,1/3/2021
Truck Engine,899,3946,1,7,982,2021,1,1,1,1/10/2021
Truck Engine,1471,1242,1,7,2460,2021,1,2,1,1/17/2021
Truck Engine,2406,3590,1,3,1401,2021,1,3,0,1/24/2021
Truck Engine,1666,2063,0,10,1548,2021,1,4,0,1/31/2021
Truck Engine,1615,1228,1,14,2176,2021,2,5,1,2/7/2021
Truck Engine,1333,3595,1,10,1640,2021,2,6,1,2/14/2021
Truck Engine,2323,1919,0,6,981,2021,2,7,0,2/21/2021
Truck Engine,2482,2246,1,9,1915,2021,2,8,0,2/28/2021
Truck Engine,1353,1005,1,13,1416,2021,3,9,1,3/7/2021
Truck Engine,550,4393,1,12,1493,2021,3,10,1,3/14/2021
Truck Engine,1074,1467,0,5,1463,2021,3,11,1,3/21/2021
Truck Engine,1648,2755,1,8,1036,2021,3,12,0,3/28/2021
Truck Engine,2697,1074,1,12,1602,2021,4,13,0,4/4/2021
Truck Engine,2861,1003,1,12,2103,2021,4,14,0,4/11/2021
Truck Engine,2852,2870,1,14,1696,2021,4,15,0,4/18/2021
Truck Engine,2215,1645,1,11,2479,2021,4,16,1,4/25/2021
Truck Engine,1181,1117,0,3,1535,2021,5,17,1,5/2/2021
Truck Engine,1337,3928,1,7,2323,2021,5,18,1,5/9/2021
Truck Engine,1577,2629,1,6,627,2021,5,19,0,5/16/2021
Truck Engine,2991,3551,0,10,2131,2021,5,20,0,5/23/2021
Truck Engine,2811,3021,1,13,591,2021,5,21,0,5/30/2021
Truck Engine,2095,1946,1,14,2176,2021,6,22,1,6/6/2021
Truck Engine,504,3621,1,3,1042,2021,6,23,1,6/13/2021
Truck Engine,1626,2464,1,11,1345,2021,6,24,0,6/20/2021
Truck Engine,1719,1193,1,8,2055,2021,6,25,1,6/27/2021
Truck Engine,1273,1846,1,6,2181,2021,7,26,1,7/4/2021
Truck Engine,1376,3762,1,14,1488,2021,7,27,1,7/11/2021
Truck Engine,1491,2415,0,11,2351,2021,7,28,1,7/18/2021
Truck Engine,546,4097,1,13,946,2021,7,29,1,7/25/2021
Truck Engine,768,2458,1,7,889,2021,8,30,1,8/1/2021
Truck Engine,869,3220,1,7,1171,2021,8,31,1,8/8/2021
Truck Engine,1135,4371,0,14,2384,2021,8,32,1,8/15/2021
Truck Engine,1629,2668,0,7,542,2021,8,33,0,8/22/2021
Truck Engine,2193,3373,0,3,753,2021,8,34,0,8/29/2021
Truck Engine,2182,2433,0,3,1653,2021,9,35,0,9/5/2021
Truck Engine,1156,2141,1,10,1583,2021,9,36,1,9/12/2021
Truck Engine,619,3883,0,14,1162,2021,9,37,1,9/19/2021
Truck Engine,1330,2810,1,10,966,2021,9,38,0,9/26/2021
Truck Engine,2310,1723,1,14,786,2021,10,39,0,10/3/2021
Truck Engine,1581,1224,1,8,1510,2021,10,40,0,10/10/2021
Truck Engine,2474,1531,1,14,2040,2021,10,41,0,10/17/2021
Truck Engine,1869,1112,1,13,1990,2021,10,42,1,10/24/2021
Truck Engine,1240,3187,1,6,2453,2021,10,43,1,10/31/2021
Truck Engine,616,1558,1,4,1277,2021,11,44,1,11/7/2021
Truck Engine,2353,3048,1,4,844,2021,11,45,0,11/14/2021
Truck Engine,1650,3137,1,11,1141,2021,11,46,0,11/21/2021
Truck Engine,2431,1653,0,7,881,2021,11,47,0,11/28/2021
Truck Engine,1512,1319,0,6,2302,2021,12,48,1,12/5/2021
Truck Engine,2164,2573,1,12,1189,2021,12,49,0,12/12/2021
Truck Engine,1581,2828,0,3,1776,2021,12,50,1,12/19/2021
Truck Engine,1133,2917,1,9,2450,2021,12,51,1,12/26/2021
Truck Engine,1012,1138,1,5,1579,2022,1,52,1,1/2/2022
Truck Engine,1619,4582,1,8,1986,2022,1,1,1,1/9/2022
Truck Engine,1641,4939,1,7,956,2022,1,2,0,1/16/2022
Truck Engine,1059,3892,1,7,1482,2022,1,3,1,1/23/2022
Truck Engine,987,3026,1,13,582,2022,1,4,0,1/30/2022
Truck Engine,1396,3306,1,7,2428,2022,2,5,1,2/6/2022
Truck Engine,1712,4744,1,3,1622,2022,2,6,0,2/13/2022
Truck Engine,1203,1901,0,3,648,2022,2,7,0,2/20/2022
Truck Engine,1970,1689,1,5,1852,2022,2,8,0,2/27/2022
Truck Engine,1080,3039,0,14,1679,2022,3,9,1,3/6/2022
Truck Engine,2794,1009,1,12,689,2022,3,10,0,3/13/2022
Truck Engine,653,1260,0,6,2017,2022,3,11,1,3/20/2022
Truck Engine,2179,2942,1,7,1382,2022,3,12,0,3/27/2022
Truck Engine,1496,2673,1,4,762,2022,4,13,0,4/3/2022
Truck Engine,1743,3219,1,10,1603,2022,4,14,0,4/10/2022
Truck Engine,1592,3945,0,13,899,2022,4,15,0,4/17/2022
Truck Engine,1508,3060,1,13,1263,2022,4,16,0,4/24/2022
Truck Engine,2641,2191,1,4,1108,2022,5,17,0,5/1/2022
Truck Engine,2273,4713,1,11,1783,2022,5,18,0,5/8/2022
Truck Engine,1457,2619,1,4,2295,2022,5,19,1,5/15/2022
Truck Engine,952,1320,1,11,2138,2022,5,20,1,5/22/2022
Truck Engine,1727,2342,1,9,2075,2022,5,21,1,5/29/2022
Truck Engine,2765,2636,1,10,1284,2022,6,22,0,6/5/2022
Truck Engine,2979,3376,1,13,600,2022,6,23,0,6/12/2022
Truck Engine,2888,3832,0,4,1882,2022,6,24,0,6/19/2022
Truck Engine,1050,3824,0,9,1903,2022,6,25,1,6/26/2022
Truck Engine,2135,2994,0,14,1319,2022,7,26,0,7/3/2022
Truck Engine,1812,3958,1,8,1744,2022,7,27,0,7/10/2022
Truck Engine,2257,2943,0,6,1319,2022,7,28,0,7/17/2022
Truck Engine,856,4621,0,9,919,2022,7,29,1,7/24/2022
Truck Engine,2570,3038,1,6,623,2022,7,30,0,7/31/2022
Truck Engine,2285,4490,1,4,921,2022,8,31,0,8/7/2022
Truck Engine,2281,4677,1,12,1754,2022,8,32,0,8/14/2022
Truck Engine,2989,2118,1,14,2213,2022,8,33,0,8/21/2022
Truck Engine,2131,4888,1,9,1586,2022,8,34,0,8/28/2022
Truck Engine,1515,2604,1,10,2008,2022,9,35,1,9/4/2022
Truck Engine,1848,3365,0,4,2151,2022,9,36,1,9/11/2022
Truck Engine,1015,1235,1,7,2226,2022,9,37,1,9/18/2022
Truck Engine,835,2969,1,3,2097,2022,9,38,1,9/25/2022
Truck Engine,2282,1333,1,9,1267,2022,10,39,0,10/2/2022
Truck Engine,2805,2908,1,10,982,2022,10,40,0,10/9/2022
Truck Engine,996,1375,1,8,1018,2022,10,41,1,10/16/2022
Truck Engine,1395,4530,1,7,654,2022,10,42,0,10/23/2022
Truck Engine,2707,2160,1,8,591,2022,10,43,0,10/30/2022
Truck Engine,1351,3635,1,4,1481,2022,11,44,1,11/6/2022
Truck Engine,2187,2570,1,3,2049,2022,11,45,0,11/13/2022
Truck Engine,2431,3560,1,9,954,2022,11,46,0,11/20/2022
Truck Engine,2927,2319,0,9,2264,2022,11,47,0,11/27/2022
Truck Engine,2068,4391,1,12,1097,2022,12,48,0,12/4/2022
Truck Engine,1456,3965,0,13,2168,2022,12,49,1,12/11/2022
Truck Engine,2136,4643,1,12,1009,2022,12,50,0,12/18/2022
Truck Engine,1791,2855,1,4,1706,2022,12,51,0,12/25/2022
